title,first_week_audience,first_day_screen,drama,action,comedy,fantasy.SF,advanture,criminal.thrill,traditional,romance,animation,documentary,horror,family,war,etc,series,holiday,actors,director,distributor_value,aud_18,korea,usa,first_day_aud
"무현,두도시이야기",25506,87,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6374
마담프루스트의비밀정원,25749,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5934
유스,29946,129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,8727
태풍이지나가고,32011,111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5995
파리로가는길,34437,158,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,9329
러브라이브!더스쿨아이돌무비,34582,123,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,16700
지금은맞고그때는틀리다,34897,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,2,1,1,0,10455
바다탐험대옥토넛시즌4바다괴물대소동,35587,247,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,4449
꼬마참새리차드아프리카원정대,36044,335,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5638
리틀메딕몸속탐험대,36223,283,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3274
본투비블루,36454,271,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13329
러덜리스,36915,229,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,12198
바다탐험대옥토넛시즌4아슬아슬구조대작전,37171,198,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2726
너와100번째사랑,40360,233,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12607
더라스트나루토더무비,40638,231,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16010
위아영,40971,469,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,13654
